| ID                                   | Name                                                                   | Dataset             | Algorithms          | Maskings              | Status    | Created                          | Updated                          |
|--------------------------------------|------------------------------------------------------------------------|---------------------|---------------------|-----------------------|-----------|----------------------------------|----------------------------------|
| 3d02b53a-294f-4db8-91e1-f0a4d39e68c7 | official_londonaq_classical_benchmark:mcar:30:LinearInterpolation:r001 | London AQ Synthetic | LinearInterpolation | Temporal-mcar-30      | COMPLETED | 2026-06-13T20:22:50.790940+00:00 | 2026-06-13T20:22:50.790940+00:00 |
| 613cb0d2-5849-4877-bf6c-6cf38ee2b71b | official_londonaq_classical_benchmark:mcar:30:arma:r001                | London AQ Synthetic | ARMA Imputer        | Temporal-mcar-30      | COMPLETED | 2026-06-13T20:22:48.594860+00:00 | 2026-06-13T20:22:48.594860+00:00 |
| dc05e44b-2c51-4cd2-8993-5801e9f8540d | st_a_dcrnn_node_holdout_30_grid_4n_v1                                  | London AQ Synthetic | DCRNN               | st:node_holdout:0.3   | COMPLETED | 2026-05-20T10:21:42.410966+00:00 | 2026-05-20T10:21:42.410966+00:00 |
| 7fedc1a0-45ac-4e11-94c2-3589613e9862 | st_a_dcrnn_sensor_dropout_30_grid_4n_v1                                | London AQ Synthetic | DCRNN               | st:sensor_dropout:0.3 | COMPLETED | 2026-05-20T10:21:42.406966+00:00 | 2026-05-20T10:21:42.406966+00:00 |
| 3f15c43a-acd7-4002-b6c7-266f4cc1454e | st_a_dcrnn_spatial_block_30_grid_4n_v1                                 | London AQ Synthetic | DCRNN               | st:spatial_block:0.3  | COMPLETED | 2026-05-20T10:21:42.403968+00:00 | 2026-05-20T10:21:42.403968+00:00 |
| 4f18c204-57d6-4b20-9630-9642c65c9a61 | st_a_dcrnn_mnar_30_grid_4n_v1                                          | London AQ Synthetic | DCRNN               | st:mnar:0.3           | COMPLETED | 2026-05-20T10:21:42.399889+00:00 | 2026-05-20T10:21:42.399889+00:00 |
| b4b969cb-f72a-4c56-8855-83e33454ca3c | st_a_dcrnn_mar_30_grid_4n_v1                                           | London AQ Synthetic | DCRNN               | st:mar:0.3            | COMPLETED | 2026-05-20T10:21:42.395888+00:00 | 2026-05-20T10:21:42.395888+00:00 |
| 2f9573a7-718b-4561-9923-6fbf0e260922 | st_a_dcrnn_mcar_30_grid_4n_v1                                          | London AQ Synthetic | DCRNN               | st:mcar:0.3           | COMPLETED | 2026-05-20T10:21:42.392050+00:00 | 2026-05-20T10:21:42.392050+00:00 |
| 205e515d-2e03-4bc9-bb4a-473799cb5e29 | st_a_ignnk_node_holdout_30_grid_4n_v1                                  | London AQ Synthetic | IGNNK               | st:node_holdout:0.3   | COMPLETED | 2026-05-20T10:21:42.388045+00:00 | 2026-05-20T10:21:42.388045+00:00 |
| 804870e3-e219-4afd-8e20-a5861b1a6861 | st_a_ignnk_sensor_dropout_30_grid_4n_v1                                | London AQ Synthetic | IGNNK               | st:sensor_dropout:0.3 | COMPLETED | 2026-05-20T10:21:42.384299+00:00 | 2026-05-20T10:21:42.384299+00:00 |
