| ID                                   | Run                                  | Algorithm           | Masking            |     MAE |    RMSE | Runtime   |
|--------------------------------------|--------------------------------------|---------------------|--------------------|---------|---------|-----------|
| 7dc94779-26f3-4f9c-a760-72380cb2150f | 3d02b53a-294f-4db8-91e1-f0a4d39e68c7 | LinearInterpolation | Temporal-mcar-30   |  1.8538 |  2.5247 | 0.0449s   |
| e85caaf3-009f-404e-ba19-e13fe936be9e | 613cb0d2-5849-4877-bf6c-6cf38ee2b71b | ARMA Imputer        | Temporal-mcar-30   | 33.2718 | 42.1499 | 0.0101s   |
| 27fb66ea-d4b4-43d0-bbf4-5c3f7fb1ccb0 | dc05e44b-2c51-4cd2-8993-5801e9f8540d | DCRNN               | protocol:test_r004 | 27.9805 | 37.3469 | nans      |
| 695dfb79-c781-4d60-91db-c080ef92468e | dc05e44b-2c51-4cd2-8993-5801e9f8540d | DCRNN               | protocol:test_r003 | 28.3897 | 37.6375 | nans      |
| 2810f64e-398b-48f1-9f62-3bbcd3bf308e | dc05e44b-2c51-4cd2-8993-5801e9f8540d | DCRNN               | protocol:test_r002 | 29.5746 | 38.818  | nans      |
| 84817645-cea2-4c72-b2c4-a04dd82fcac6 | dc05e44b-2c51-4cd2-8993-5801e9f8540d | DCRNN               | protocol:test_r001 | 30.0383 | 39.4356 | nans      |
| 63778e63-cdbc-4e5a-8fbb-b75449ae1317 | dc05e44b-2c51-4cd2-8993-5801e9f8540d | DCRNN               | protocol:test_r000 | 28.8187 | 38.7231 | nans      |
| 6246ab4e-12ce-4565-9473-a4e59024b1b7 | 7fedc1a0-45ac-4e11-94c2-3589613e9862 | DCRNN               | protocol:test_r004 | 28.0742 | 37.3754 | nans      |
| de6dfb61-c334-400c-b2c2-0d8f1cce833c | 7fedc1a0-45ac-4e11-94c2-3589613e9862 | DCRNN               | protocol:test_r003 | 27.7423 | 37.1864 | nans      |
| e49da0b3-a467-4881-80dd-7b78ff88ab52 | 7fedc1a0-45ac-4e11-94c2-3589613e9862 | DCRNN               | protocol:test_r002 | 29.5474 | 38.7541 | nans      |
| 5bc07bea-3ac4-44dd-83c0-9daf188106f2 | 7fedc1a0-45ac-4e11-94c2-3589613e9862 | DCRNN               | protocol:test_r001 | 30.2628 | 39.7738 | nans      |
| 1ca2fb24-13e7-4b4b-8519-3af9dc2701c8 | 7fedc1a0-45ac-4e11-94c2-3589613e9862 | DCRNN               | protocol:test_r000 | 28.6067 | 38.4601 | nans      |
| 231a7b44-bae5-4d6a-94f8-64b8e267910c | 3f15c43a-acd7-4002-b6c7-266f4cc1454e | DCRNN               | protocol:test_r004 | 30.4315 | 40.1651 | nans      |
| 713e9223-4b56-4df4-903b-dc8a1c73c5b8 | 3f15c43a-acd7-4002-b6c7-266f4cc1454e | DCRNN               | protocol:test_r003 | 30.6759 | 39.6397 | nans      |
| e0093d9b-42a1-4bc6-a31b-47441e451abd | 3f15c43a-acd7-4002-b6c7-266f4cc1454e | DCRNN               | protocol:test_r002 | 26.833  | 35.8231 | nans      |
| ecf18b6e-d7cc-4122-8d4f-25f33f34b4d4 | 3f15c43a-acd7-4002-b6c7-266f4cc1454e | DCRNN               | protocol:test_r001 | 30.8702 | 40.7182 | nans      |
| dedec814-db75-490a-852d-3d75e8ccb362 | 3f15c43a-acd7-4002-b6c7-266f4cc1454e | DCRNN               | protocol:test_r000 | 32.0062 | 41.4524 | nans      |
| 264353e5-a143-446e-838d-47b58db5ca0a | 4f18c204-57d6-4b20-9630-9642c65c9a61 | DCRNN               | protocol:test_r004 | 47.7174 | 57.3177 | nans      |
| 8d79ab0d-7bb2-480b-b29f-5996b178b465 | 4f18c204-57d6-4b20-9630-9642c65c9a61 | DCRNN               | protocol:test_r003 | 47.4429 | 57.1937 | nans      |
| 0c740a85-5475-486a-a627-154332854d5f | 4f18c204-57d6-4b20-9630-9642c65c9a61 | DCRNN               | protocol:test_r002 | 47.7871 | 57.4175 | nans      |
| 079a6c16-7572-4b66-a094-6e8977cda886 | 4f18c204-57d6-4b20-9630-9642c65c9a61 | DCRNN               | protocol:test_r001 | 47.4036 | 56.9943 | nans      |
| 3d565e03-da71-4f7f-9151-fbf58d92117e | 4f18c204-57d6-4b20-9630-9642c65c9a61 | DCRNN               | protocol:test_r000 | 47.9169 | 57.6186 | nans      |
| a08ff1d7-6816-4839-98f3-bf45561d6168 | b4b969cb-f72a-4c56-8855-83e33454ca3c | DCRNN               | protocol:test_r004 | 35.4303 | 44.7789 | nans      |
| 841446a7-5621-4a0c-9ff4-90ecceb267a4 | b4b969cb-f72a-4c56-8855-83e33454ca3c | DCRNN               | protocol:test_r003 | 33.4942 | 44.573  | nans      |
| fd4d4670-2664-4d8d-bddb-3fa37cebe2c4 | b4b969cb-f72a-4c56-8855-83e33454ca3c | DCRNN               | protocol:test_r002 | 29.8661 | 40.1686 | nans      |
