rate,family,algorithm,n,rmse_mean,rmse_std,mae_mean,mae_std,PM25_rmse_mean,PM10_rmse_mean,SO2_rmse_mean,NO2_rmse_mean,CO_rmse_mean,O3_rmse_mean
0.3,node_holdout,grin,5,47.824953,1.033541,30.484400,1.061191,43.709370,66.849673,6.305665,39.583752,0.442898,75.685103
0.3,node_holdout,ignnk,5,40.912397,1.481544,26.005539,1.432063,36.210375,54.855687,7.520697,34.305096,1.733615,66.761633
0.3,node_holdout,stgcn,5,29.236104,3.252684,17.683043,2.319741,27.204932,37.200305,5.838465,26.585009,1.249034,47.322312
0.3,sensor_dropout,grin,5,47.865691,0.997273,30.576240,1.023577,43.952490,66.951677,6.386401,39.659660,0.458147,75.546782
0.3,sensor_dropout,ignnk,5,40.840464,2.286699,25.963830,1.732119,37.329312,52.984528,7.240257,33.397353,2.761899,67.611556
0.3,sensor_dropout,stgcn,5,29.149358,3.087270,17.609488,2.394942,26.640196,36.487308,5.978401,26.102363,1.177677,48.197520
0.3,spatial_block,grin,5,47.736031,0.641144,30.634903,0.557484,43.957185,67.324110,6.410985,40.132107,0.462191,74.510472
0.3,spatial_block,ignnk,5,44.589107,1.038078,28.706102,0.695384,39.462842,62.987254,7.561902,37.064507,1.945140,70.347023
0.3,spatial_block,stgcn,5,31.430735,3.895660,19.177733,2.379285,27.999915,40.986768,5.988279,28.595140,1.102703,50.841898
0.5,mar,grin,5,49.041301,1.024639,31.628598,0.993035,45.943893,69.097939,7.205303,40.921021,0.649387,75.653343
0.5,mar,ignnk,5,44.522177,1.332163,28.783133,1.271008,40.796040,61.726570,9.153307,36.615405,1.827359,69.585139
0.5,mar,stgcn,5,35.932114,1.509295,22.359699,1.160022,34.835483,46.956866,8.194834,31.337424,1.840302,55.813709
0.5,mcar,grin,5,48.015434,0.140440,30.781713,0.189145,43.859859,67.542776,6.607777,39.642669,0.551973,75.705827
0.5,mcar,ignnk,5,40.973746,1.906051,25.461746,1.573743,35.611526,54.720802,6.341186,34.192400,3.290026,67.660588
0.5,mcar,stgcn,5,32.179498,0.400926,19.840985,0.375111,29.942574,41.835801,6.359603,28.533430,2.078263,51.942926
0.5,mnar,grin,5,78.878320,0.144788,58.915137,0.168235,68.956670,96.409247,11.996729,59.835583,0.522958,104.004985
0.5,mnar,ignnk,5,60.068151,2.191130,40.777974,2.012633,43.218390,62.909326,10.580206,40.335016,3.459577,86.625937
0.5,mnar,stgcn,5,45.527523,0.947757,29.031053,0.585839,34.234426,44.698976,10.521139,33.420961,2.316634,65.841039
0.5,node_holdout,grin,5,48.066757,0.660255,30.877835,0.561079,44.589158,67.564732,6.632338,39.514082,0.598858,75.491125
0.5,node_holdout,ignnk,5,43.280397,1.250397,27.836757,0.897912,39.706754,58.557848,7.449821,34.930319,3.144752,70.191637
0.5,node_holdout,stgcn,5,34.099401,2.558574,20.599331,1.765869,30.937457,44.413676,6.370823,29.386994,0.880389,55.868777
0.5,sensor_dropout,grin,5,48.063657,0.763319,30.865541,0.689434,44.607372,67.454175,6.686480,39.439096,0.573982,75.611084
0.5,sensor_dropout,ignnk,5,43.542400,1.401648,28.091247,1.179801,40.670103,59.878409,7.830173,36.620493,1.247932,68.657790
0.5,sensor_dropout,stgcn,5,33.685168,1.872345,20.599692,1.212811,31.708953,44.547521,6.230770,29.149816,0.876854,54.032901
0.5,spatial_block,grin,5,47.872005,0.672840,30.807292,0.733419,43.107807,67.731842,6.640219,40.181924,0.626661,75.105835
0.5,spatial_block,ignnk,5,45.243893,1.395619,29.375142,1.015677,40.394056,62.919228,7.845091,37.745934,1.871636,72.036786
0.5,spatial_block,stgcn,5,37.451897,1.552085,23.184763,1.082118,33.090496,51.000080,6.680069,32.434549,0.980645,60.033424
