run_id,algorithm,family,rate,realization,realized_rate,rmse,mae,train_s,PM25,PM10,SO2,NO2,CO,O3
45b18d78-8d31-49f8-a5b4-29a58331a630,grin,node_holdout,0.3,test_r000,0.3000,47.446159,30.284845,0.0,43.780148,64.808784,6.287312,40.414909,0.451014,75.609840
45b18d78-8d31-49f8-a5b4-29a58331a630,grin,node_holdout,0.3,test_r001,0.3000,48.925640,31.621616,0.0,44.837757,68.532692,7.089952,42.040142,0.491424,76.402054
45b18d78-8d31-49f8-a5b4-29a58331a630,grin,node_holdout,0.3,test_r002,0.3000,48.979233,31.586266,0.0,45.889984,69.924362,6.873899,41.563881,0.468118,74.989716
45b18d78-8d31-49f8-a5b4-29a58331a630,grin,node_holdout,0.3,test_r003,0.3000,47.555325,30.173014,0.0,43.683243,66.316788,5.824311,39.208530,0.422684,75.442047
45b18d78-8d31-49f8-a5b4-29a58331a630,grin,node_holdout,0.3,test_r004,0.3000,46.218410,28.756258,0.0,40.355717,64.665741,5.452849,34.691296,0.381252,75.981857
51f6bc00-b219-4f57-8679-0c03e4e807a3,ignnk,node_holdout,0.3,test_r000,0.3000,41.847710,27.172281,0.0,36.186611,56.849113,10.443122,36.296249,2.178013,67.341461
51f6bc00-b219-4f57-8679-0c03e4e807a3,ignnk,node_holdout,0.3,test_r001,0.3000,39.641640,25.360811,0.0,33.982334,53.969002,8.549118,35.573952,1.237235,63.412792
51f6bc00-b219-4f57-8679-0c03e4e807a3,ignnk,node_holdout,0.3,test_r002,0.3000,43.303318,28.175524,0.0,41.143730,62.799232,6.939386,35.320210,2.050105,65.685921
51f6bc00-b219-4f57-8679-0c03e4e807a3,ignnk,node_holdout,0.3,test_r003,0.3000,40.457474,24.928600,0.0,36.694176,52.191883,4.526800,32.148315,2.076697,68.498672
51f6bc00-b219-4f57-8679-0c03e4e807a3,ignnk,node_holdout,0.3,test_r004,0.3000,39.311844,24.390476,0.0,33.045025,48.469204,7.145058,32.186752,1.126024,68.869316
d4394e78-6740-4623-8a03-6387a5a74aa4,stgcn,node_holdout,0.3,test_r000,0.3000,28.441509,17.153402,0.0,27.348131,34.199039,6.012480,27.597715,1.701720,46.209770
