rate,family,algorithm,n,rmse_mean,rmse_std,mae_mean,mae_std,PM25_rmse_mean,PM10_rmse_mean,SO2_rmse_mean,NO2_rmse_mean,CO_rmse_mean,O3_rmse_mean
0.1,mar,brits,20,29.047911,0.876599,18.173465,0.458061,nan,nan,nan,nan,nan,nan
0.1,mar,saits,20,8.633896,0.364817,5.055855,0.126228,nan,nan,nan,nan,nan,nan
0.1,mar,saits_lc,20,8.622362,0.298449,5.038274,0.092917,nan,nan,nan,nan,nan,nan
0.1,mcar,brits,20,28.705641,0.157110,18.222795,0.088553,nan,nan,nan,nan,nan,nan
0.1,mcar,saits,20,7.917982,0.124345,4.630142,0.029978,nan,nan,nan,nan,nan,nan
0.1,mcar,saits_lc,20,7.914346,0.119316,4.615229,0.027700,nan,nan,nan,nan,nan,nan
0.1,mnar,brits,20,45.981769,0.454964,30.112318,0.273709,nan,nan,nan,nan,nan,nan
0.1,mnar,saits,20,11.546653,0.564657,6.763474,0.075101,nan,nan,nan,nan,nan,nan
0.1,mnar,saits_lc,20,11.699132,0.589388,6.906799,0.091136,nan,nan,nan,nan,nan,nan
0.3,mar,brits,20,28.953637,0.942955,17.957067,0.528802,nan,nan,nan,nan,nan,nan
0.3,mar,saits,20,9.483211,0.163971,5.643031,0.059157,nan,nan,nan,nan,nan,nan
0.3,mar,saits_lc,20,9.519714,0.157219,5.654187,0.077525,nan,nan,nan,nan,nan,nan
0.3,mcar,brits,20,28.719588,0.067364,18.209960,0.040367,nan,nan,nan,nan,nan,nan
0.3,mcar,saits,20,8.441237,0.058073,4.910473,0.011104,nan,nan,nan,nan,nan,nan
0.3,mcar,saits_lc,20,8.469528,0.060693,4.982686,0.012799,nan,nan,nan,nan,nan,nan
0.3,mnar,brits,20,46.875760,0.264304,30.726606,0.207658,nan,nan,nan,nan,nan,nan
0.3,mnar,saits,20,11.848736,0.180825,6.964857,0.044689,nan,nan,nan,nan,nan,nan
0.3,mnar,saits_lc,20,12.085618,0.193379,7.018355,0.049525,nan,nan,nan,nan,nan,nan
