run_id,family,rate,algorithm,phase,realization,realized_rate,rmse,mae,train_s,completed_at,PM25,PM10,SO2,NO2,CO,O3
428a5a48-5882-4ff4-8989-e6f13af6c336,mar,0.1,brits,test,test_r000,0.1022,29.063628,18.320108,0.0,2026-08-18T19:07:17.319347+00:00,nan,nan,nan,nan,nan,nan
428a5a48-5882-4ff4-8989-e6f13af6c336,mar,0.1,brits,test,test_r001,0.0987,30.141763,18.587800,0.0,2026-08-18T19:08:32.255316+00:00,nan,nan,nan,nan,nan,nan
428a5a48-5882-4ff4-8989-e6f13af6c336,mar,0.1,brits,test,test_r002,0.0896,29.110525,18.335807,0.0,2026-08-18T19:09:51.833661+00:00,nan,nan,nan,nan,nan,nan
428a5a48-5882-4ff4-8989-e6f13af6c336,mar,0.1,brits,test,test_r003,0.1011,27.643432,17.387864,0.0,2026-08-18T19:11:15.907071+00:00,nan,nan,nan,nan,nan,nan
428a5a48-5882-4ff4-8989-e6f13af6c336,mar,0.1,brits,test,test_r004,0.0991,30.141338,18.516598,0.0,2026-08-18T19:12:32.999988+00:00,nan,nan,nan,nan,nan,nan
428a5a48-5882-4ff4-8989-e6f13af6c336,mar,0.1,brits,test,test_r005,0.0994,27.748263,17.416534,0.0,2026-08-18T19:13:48.934949+00:00,nan,nan,nan,nan,nan,nan
428a5a48-5882-4ff4-8989-e6f13af6c336,mar,0.1,brits,test,test_r006,0.0997,27.966406,17.582166,0.0,2026-08-18T19:15:01.848191+00:00,nan,nan,nan,nan,nan,nan
428a5a48-5882-4ff4-8989-e6f13af6c336,mar,0.1,brits,test,test_r007,0.1012,27.771713,17.479636,0.0,2026-08-18T19:16:21.351199+00:00,nan,nan,nan,nan,nan,nan
428a5a48-5882-4ff4-8989-e6f13af6c336,mar,0.1,brits,test,test_r008,0.0903,29.683317,18.470513,0.0,2026-08-18T19:17:44.333196+00:00,nan,nan,nan,nan,nan,nan
428a5a48-5882-4ff4-8989-e6f13af6c336,mar,0.1,brits,test,test_r009,0.0890,29.660693,18.574352,0.0,2026-08-18T19:18:57.577324+00:00,nan,nan,nan,nan,nan,nan
428a5a48-5882-4ff4-8989-e6f13af6c336,mar,0.1,brits,test,test_r010,0.0913,29.592102,18.540405,0.0,2026-08-18T19:20:16.694207+00:00,nan,nan,nan,nan,nan,nan
428a5a48-5882-4ff4-8989-e6f13af6c336,mar,0.1,brits,test,test_r011,0.1009,27.994850,17.636559,0.0,2026-08-18T19:21:31.948776+00:00,nan,nan,nan,nan,nan,nan
428a5a48-5882-4ff4-8989-e6f13af6c336,mar,0.1,brits,test,test_r012,0.1013,29.081890,18.267924,0.0,2026-08-18T19:22:53.412542+00:00,nan,nan,nan,nan,nan,nan
428a5a48-5882-4ff4-8989-e6f13af6c336,mar,0.1,brits,test,test_r013,0.0918,29.664055,18.459980,0.0,2026-08-18T19:24:54.531812+00:00,nan,nan,nan,nan,nan,nan
428a5a48-5882-4ff4-8989-e6f13af6c336,mar,0.1,brits,test,test_r014,0.1014,29.419971,18.350875,0.0,2026-08-18T19:26:23.285763+00:00,nan,nan,nan,nan,nan,nan
428a5a48-5882-4ff4-8989-e6f13af6c336,mar,0.1,brits,test,test_r015,0.1026,29.507321,18.451956,0.0,2026-08-18T19:27:47.186931+00:00,nan,nan,nan,nan,nan,nan
428a5a48-5882-4ff4-8989-e6f13af6c336,mar,0.1,brits,test,test_r016,0.1003,29.324378,18.417426,0.0,2026-08-18T19:29:12.885344+00:00,nan,nan,nan,nan,nan,nan
428a5a48-5882-4ff4-8989-e6f13af6c336,mar,0.1,brits,test,test_r017,0.0916,29.421587,18.449611,0.0,2026-08-18T19:30:44.456515+00:00,nan,nan,nan,nan,nan,nan
428a5a48-5882-4ff4-8989-e6f13af6c336,mar,0.1,brits,test,test_r018,0.0955,30.310264,18.752934,0.0,2026-08-18T19:32:12.012808+00:00,nan,nan,nan,nan,nan,nan
428a5a48-5882-4ff4-8989-e6f13af6c336,mar,0.1,brits,test,test_r019,0.1015,27.710720,17.470248,0.0,2026-08-18T19:33:35.548070+00:00,nan,nan,nan,nan,nan,nan
428a5a48-5882-4ff4-8989-e6f13af6c336,mar,0.1,brits,train,,0.0000,nan,nan,0.0,2026-08-18T18:59:32.503246+00:00,nan,nan,nan,nan,nan,nan
428a5a48-5882-4ff4-8989-e6f13af6c336,mar,0.1,brits,validate,test_r000,0.0000,30.763888,18.951724,0.0,2026-08-18T19:01:25.276249+00:00,nan,nan,nan,nan,nan,nan
428a5a48-5882-4ff4-8989-e6f13af6c336,mar,0.1,saits,test,test_r000,0.1022,8.766841,5.040527,0.0,2026-08-18T19:01:31.991575+00:00,nan,nan,nan,nan,nan,nan
428a5a48-5882-4ff4-8989-e6f13af6c336,mar,0.1,saits,test,test_r001,0.0987,8.988282,5.248129,0.0,2026-08-18T19:01:37.925018+00:00,nan,nan,nan,nan,nan,nan
428a5a48-5882-4ff4-8989-e6f13af6c336,mar,0.1,saits,test,test_r002,0.0896,8.843559,5.118100,0.0,2026-08-18T19:01:43.756500+00:00,nan,nan,nan,nan,nan,nan
428a5a48-5882-4ff4-8989-e6f13af6c336,mar,0.1,saits,test,test_r003,0.1011,8.105536,4.888612,0.0,2026-08-18T19:01:49.782145+00:00,nan,nan,nan,nan,nan,nan
428a5a48-5882-4ff4-8989-e6f13af6c336,mar,0.1,saits,test,test_r004,0.0991,8.859544,5.189718,0.0,2026-08-18T19:01:55.727959+00:00,nan,nan,nan,nan,nan,nan
428a5a48-5882-4ff4-8989-e6f13af6c336,mar,0.1,saits,test,test_r005,0.0994,8.015930,4.875595,0.0,2026-08-18T19:02:02.278771+00:00,nan,nan,nan,nan,nan,nan
428a5a48-5882-4ff4-8989-e6f13af6c336,mar,0.1,saits,test,test_r006,0.0997,8.385793,4.873900,0.0,2026-08-18T19:02:09.178241+00:00,nan,nan,nan,nan,nan,nan
428a5a48-5882-4ff4-8989-e6f13af6c336,mar,0.1,saits,test,test_r007,0.1012,8.112490,4.895639,0.0,2026-08-18T19:02:16.155746+00:00,nan,nan,nan,nan,nan,nan
428a5a48-5882-4ff4-8989-e6f13af6c336,mar,0.1,saits,test,test_r008,0.0903,9.143172,5.158839,0.0,2026-08-18T19:02:23.709815+00:00,nan,nan,nan,nan,nan,nan
428a5a48-5882-4ff4-8989-e6f13af6c336,mar,0.1,saits,test,test_r009,0.0890,9.018566,5.178368,0.0,2026-08-18T19:02:30.862755+00:00,nan,nan,nan,nan,nan,nan
428a5a48-5882-4ff4-8989-e6f13af6c336,mar,0.1,saits,test,test_r010,0.0913,8.752565,5.173947,0.0,2026-08-18T19:02:38.239551+00:00,nan,nan,nan,nan,nan,nan
428a5a48-5882-4ff4-8989-e6f13af6c336,mar,0.1,saits,test,test_r011,0.1009,8.265861,4.927558,0.0,2026-08-18T19:02:45.550810+00:00,nan,nan,nan,nan,nan,nan
428a5a48-5882-4ff4-8989-e6f13af6c336,mar,0.1,saits,test,test_r012,0.1013,8.412153,5.023451,0.0,2026-08-18T19:02:52.903075+00:00,nan,nan,nan,nan,nan,nan
428a5a48-5882-4ff4-8989-e6f13af6c336,mar,0.1,saits,test,test_r013,0.0918,8.841117,5.079463,0.0,2026-08-18T19:03:00.702926+00:00,nan,nan,nan,nan,nan,nan
428a5a48-5882-4ff4-8989-e6f13af6c336,mar,0.1,saits,test,test_r014,0.1014,8.875255,5.023347,0.0,2026-08-18T19:03:08.481650+00:00,nan,nan,nan,nan,nan,nan
428a5a48-5882-4ff4-8989-e6f13af6c336,mar,0.1,saits,test,test_r015,0.1026,8.452881,5.023417,0.0,2026-08-18T19:03:16.045452+00:00,nan,nan,nan,nan,nan,nan
428a5a48-5882-4ff4-8989-e6f13af6c336,mar,0.1,saits,test,test_r016,0.1003,8.569570,5.077320,0.0,2026-08-18T19:03:24.006230+00:00,nan,nan,nan,nan,nan,nan
428a5a48-5882-4ff4-8989-e6f13af6c336,mar,0.1,saits,test,test_r017,0.0916,8.827805,5.151210,0.0,2026-08-18T19:03:31.141050+00:00,nan,nan,nan,nan,nan,nan
428a5a48-5882-4ff4-8989-e6f13af6c336,mar,0.1,saits,test,test_r018,0.0955,9.282853,5.271316,0.0,2026-08-18T19:03:38.396987+00:00,nan,nan,nan,nan,nan,nan
428a5a48-5882-4ff4-8989-e6f13af6c336,mar,0.1,saits,test,test_r019,0.1015,8.158146,4.898639,0.0,2026-08-18T19:03:46.151020+00:00,nan,nan,nan,nan,nan,nan
428a5a48-5882-4ff4-8989-e6f13af6c336,mar,0.1,saits,train,,0.0000,nan,nan,0.0,2026-08-18T16:56:56.613777+00:00,nan,nan,nan,nan,nan,nan
428a5a48-5882-4ff4-8989-e6f13af6c336,mar,0.1,saits,validate,test_r000,0.0000,9.495541,5.435701,0.0,2026-08-18T18:59:47.360242+00:00,nan,nan,nan,nan,nan,nan
428a5a48-5882-4ff4-8989-e6f13af6c336,mar,0.1,saits_lc,test,test_r000,0.1022,8.740622,5.030555,0.0,2026-08-18T19:03:53.623934+00:00,nan,nan,nan,nan,nan,nan
428a5a48-5882-4ff4-8989-e6f13af6c336,mar,0.1,saits_lc,test,test_r001,0.0987,8.874732,5.159385,0.0,2026-08-18T19:04:00.705851+00:00,nan,nan,nan,nan,nan,nan
428a5a48-5882-4ff4-8989-e6f13af6c336,mar,0.1,saits_lc,test,test_r002,0.0896,8.800091,5.092413,0.0,2026-08-18T19:04:07.996032+00:00,nan,nan,nan,nan,nan,nan
428a5a48-5882-4ff4-8989-e6f13af6c336,mar,0.1,saits_lc,test,test_r003,0.1011,8.195981,4.910245,0.0,2026-08-18T19:04:14.253978+00:00,nan,nan,nan,nan,nan,nan
428a5a48-5882-4ff4-8989-e6f13af6c336,mar,0.1,saits_lc,test,test_r004,0.0991,8.805232,5.134894,0.0,2026-08-18T19:04:21.448366+00:00,nan,nan,nan,nan,nan,nan
428a5a48-5882-4ff4-8989-e6f13af6c336,mar,0.1,saits_lc,test,test_r005,0.0994,8.103520,4.887310,0.0,2026-08-18T19:04:28.349163+00:00,nan,nan,nan,nan,nan,nan
428a5a48-5882-4ff4-8989-e6f13af6c336,mar,0.1,saits_lc,test,test_r006,0.0997,8.472987,4.908208,0.0,2026-08-18T19:04:35.328925+00:00,nan,nan,nan,nan,nan,nan
428a5a48-5882-4ff4-8989-e6f13af6c336,mar,0.1,saits_lc,test,test_r007,0.1012,8.188673,4.900242,0.0,2026-08-18T19:04:43.375960+00:00,nan,nan,nan,nan,nan,nan
428a5a48-5882-4ff4-8989-e6f13af6c336,mar,0.1,saits_lc,test,test_r008,0.0903,9.064291,5.117665,0.0,2026-08-18T19:04:49.681120+00:00,nan,nan,nan,nan,nan,nan
