algorithm_id,station_label,recipe_label,family,n,mean_rmse,std_rmse,median_rmse,mean_mae,mean_runtime,rank,is_best,rank_allowed,comparison_status,claim_level
cubic_spline,full_grid,MAR 10%,classical,5,5.39822654793421,0.223900034022531,5.455149780411323,2.7307159014835425,3.062115199999971,1,True,True,compatible,bounded_comparison
linear_interpolation,full_grid,MAR 10%,naive,5,5.398859762528646,0.23635609564672228,5.479757321275347,2.7380281295561018,0.1287633199997799,2,False,True,compatible,bounded_comparison
galpi,full_grid,MAR 10%,classical,5,5.484716001510892,0.23697112196279949,5.567448313629283,2.7636186879290467,3.654045319999932,3,False,True,compatible,bounded_comparison
nearest_interpolation,full_grid,MAR 10%,classical,5,8.524158490453726,0.23130331993411068,8.57916557929411,4.372121881509092,0.23022297999959845,4,False,True,compatible,bounded_comparison
linear_interpolation,full_grid,MAR 30%,naive,5,7.142971838307252,0.3182267077268868,7.321000814554135,3.543282533039393,0.19557067999921857,1,True,True,compatible,bounded_comparison
cubic_spline,full_grid,MAR 30%,classical,5,7.436326102559422,0.3524903812783832,7.547068564156662,3.662445817820889,7.868151079999734,2,False,True,compatible,bounded_comparison
galpi,full_grid,MAR 30%,classical,5,8.859531965584022,0.334123727108863,9.049911589982878,4.112084399405162,8.897385439999926,3,False,True,compatible,bounded_comparison
nearest_interpolation,full_grid,MAR 30%,classical,5,9.85523280893304,0.2905248274288718,10.005361686228017,4.913871348378612,0.2714697200004593,4,False,True,compatible,bounded_comparison
linear_interpolation,full_grid,MAR 50%,naive,5,13.310534780992509,0.44103014131862855,13.577178465369581,6.1795295763594895,0.28983640000042216,1,True,True,compatible,bounded_comparison
nearest_interpolation,full_grid,MAR 50%,classical,5,15.478103110391128,0.4316257244155771,15.71285196961505,7.290983673078105,0.3965994199999841,2,False,True,compatible,bounded_comparison
galpi,full_grid,MAR 50%,classical,5,16.70835163124817,0.13551774467541575,16.638593648466465,7.850488146871479,13.283348700000351,3,False,True,compatible,bounded_comparison
cubic_spline,full_grid,MAR 50%,classical,5,19.541386331236005,2.6499864300620817,20.234414055884123,7.7193678370976215,11.581754280000315,4,False,True,compatible,bounded_comparison
linear_interpolation,full_grid,MCAR 10%,naive,5,5.108043881566945,0.029698493539705384,5.120063731154612,2.594270107476089,0.14773092000068572,1,True,True,compatible,bounded_comparison
cubic_spline,full_grid,MCAR 10%,classical,5,5.108392006870764,0.03309374852172477,5.112013453384293,2.5825224247562506,3.28773871999947,2,False,True,compatible,bounded_comparison
galpi,full_grid,MCAR 10%,classical,5,5.142246163612443,0.026237820555351343,5.1525280797536865,2.6033442971693335,3.9948016399997868,3,False,True,compatible,bounded_comparison
nearest_interpolation,full_grid,MCAR 10%,classical,5,8.29248673967064,0.04195409175909011,8.30011265035341,4.231587291210909,0.21483190000035393,4,False,True,compatible,bounded_comparison
linear_interpolation,full_grid,MCAR 30%,naive,5,6.071545187473341,0.031156628318011505,6.0705706836407485,3.051744993029118,0.20996029999951132,1,True,True,compatible,bounded_comparison
cubic_spline,full_grid,MCAR 30%,classical,5,6.254051681139339,0.03817739852992152,6.23651285184462,3.129927112703745,8.53571324000004,2,False,True,compatible,bounded_comparison
galpi,full_grid,MCAR 30%,classical,5,6.722506813629074,0.052953256258342435,6.751642132785487,3.257640778244572,8.690823479999745,3,False,True,compatible,bounded_comparison
