ID,Name,Family,Source,Parameter Count,Created At
fa799f9d-f7be-441a-9fa2-27cd6f6b0c0f,BackwardFill,classical,,,2026-04-26T14:55:24.288127+00:00
b8ad1bf8-4e74-4697-bbc4-76c160831413,ExponentialSmoothing,classical,,,2026-04-26T14:55:27.765338+00:00
b8a8d3fc-06dc-417d-a4ff-aed7d584dfcc,MovingAverage,classical,,,2026-04-26T14:55:10.511544+00:00
f323ea5c-68d0-411f-9155-502a0e350f80,NearestInterpolation,classical,,,2026-04-26T14:55:13.898504+00:00
3fc5eeaf-3963-4779-8adc-6340c61c640f,SeasonalNaive,classical,,,2026-04-26T14:55:19.532496+00:00
629b66a7-144c-4e53-b545-b7632fbebbf2,BRITS,dl_temporal,,,2026-04-26T14:54:18.387570+00:00
a3b5081b-0f46-419d-8018-61bd8997fef3,GRU-D,dl_temporal,,,2026-04-26T14:54:10.826162+00:00
510e6b79-4247-4ad4-af90-164ef33d9250,SAITS,dl_temporal,,,2026-04-26T14:54:32.636052+00:00
3d7dd928-9794-4869-81ec-76fbdda1db01,SAITS-LC,dl_temporal,,,2026-04-26T14:54:34.893254+00:00
58ff40b4-4e64-4d2d-bf7d-0602447331fa,SAITS-LCH,dl_temporal,,,2026-04-26T14:54:36.395862+00:00
d151ee3e-d2c6-4782-a2c5-55f830b29564,Simple GRU,dl_temporal,,,2026-04-26T14:54:07.866675+00:00
8cb5f071-edb8-4d00-9e53-0ae2a8c871de,Simple LSTM,dl_temporal,,,2026-04-26T14:53:58.865787+00:00
41a3c283-a634-4e93-b791-b468b3578521,Simple RNN,dl_temporal,,,2026-04-26T14:52:22.890257+00:00
e3b1da1c-f897-4205-ba18-760988645dc7,LOCF,naive,,,2026-04-26T14:55:38.216056+00:00
8a14caf0-0c41-4987-a269-feef8d60c750,LinearInterpolation,naive,,,2026-04-26T14:55:36.542276+00:00
78ded0bb-6209-43f4-9498-7c19e0cc382a,Mean,naive,,,2026-04-26T14:55:05.432693+00:00
9d8705a3-9539-413e-946c-12014a9a5044,Median,naive,,,2026-04-26T14:55:08.335425+00:00
