algorithm_id,algorithm,family,role,design_status,card_status,conformance_status,execution_truth,resolved_status,thesis_use
plugin:brits,BRITS,dl_temporal,deep_learning_reference,partial,generated,conformant,execution_ready,execution_ready,baseline
plugin:gru,Simple GRU,dl_temporal,deep_learning_reference,partial,generated,conformant,execution_ready,execution_ready,baseline
plugin:gru_d,GRU-D,dl_temporal,deep_learning_reference,partial,generated,conformant,execution_ready,execution_ready,baseline
plugin:lstm,Simple LSTM,dl_temporal,deep_learning_reference,partial,generated,conformant,execution_ready,execution_ready,baseline
plugin:rnn,Simple RNN,dl_temporal,deep_learning_reference,partial,generated,conformant,execution_ready,execution_ready,baseline
plugin:saits,SAITS,dl_temporal,deep_learning_reference,partial,generated,conformant,execution_ready,execution_ready,main_model
plugin:saits_lc,SAITS-LC,dl_temporal,deep_learning_reference,partial,generated,conformant,execution_ready,execution_ready,main_model
plugin:saits_lch,SAITS-LCH,dl_temporal,deep_learning_reference,partial,generated,conformant,execution_ready,execution_ready,main_model
plugin:backward_fill,BackwardFill,classical,classical_reference,partial,generated,conformant,execution_ready,execution_ready,baseline
plugin:exponential_smoothing,ExponentialSmoothing,classical,classical_reference,partial,generated,conformant,execution_ready,execution_ready,baseline
plugin:moving_average,MovingAverage,classical,classical_reference,partial,generated,conformant,execution_ready,execution_ready,baseline
plugin:nearest_interpolation,NearestInterpolation,classical,classical_reference,partial,generated,conformant,execution_ready,execution_ready,baseline
plugin:seasonal_naive,SeasonalNaive,classical,classical_reference,partial,generated,conformant,execution_ready,execution_ready,baseline
plugin:linear_interpolation,LinearInterpolation,naive,baseline,partial,generated,conformant,execution_ready,execution_ready,baseline
plugin:locf,LOCF,naive,baseline,partial,generated,conformant,execution_ready,execution_ready,baseline
plugin:mean,Mean,naive,baseline,partial,generated,partial_conformance,execution_ready,execution_ready,baseline
plugin:median,Median,naive,baseline,partial,generated,partial_conformance,execution_ready,execution_ready,baseline
