algorithm_id,masking_id,pollutant,masking_rate,mae,rmse,result_id,algorithm_name,family,masking_name,mre
629b66a7-144c-4e53-b545-b7632fbebbf2,protocol:test_r000,NO,0.000000,22.680653,29.532668,618f8861-4fe2-40a5-996f-06bd8dd91e15,BRITS,dl_temporal,protocol:test_r000,
629b66a7-144c-4e53-b545-b7632fbebbf2,protocol:test_r001,NO,0.000000,22.782187,30.117312,a4508dfd-78b1-4763-97b8-93cc54bfc009,BRITS,dl_temporal,protocol:test_r001,
629b66a7-144c-4e53-b545-b7632fbebbf2,protocol:test_r002,NO,0.000000,23.244989,30.048758,d5174de0-1c49-42b0-8f86-3c60eed0dc80,BRITS,dl_temporal,protocol:test_r002,
629b66a7-144c-4e53-b545-b7632fbebbf2,protocol:test_r003,NO,0.000000,22.639426,29.648195,94e3952e-53b2-410a-b82f-75e6ea659dd8,BRITS,dl_temporal,protocol:test_r003,
629b66a7-144c-4e53-b545-b7632fbebbf2,protocol:test_r004,NO,0.000000,23.056592,30.384260,839a032b-a9c0-406d-9227-f0f3600dba01,BRITS,dl_temporal,protocol:test_r004,
fa799f9d-f7be-441a-9fa2-27cd6f6b0c0f,protocol:test_r000,NO,0.000000,2.922291,4.063706,56254bd3-2862-4c44-aba6-52dc3f233ad0,BackwardFill,classical,protocol:test_r000,
fa799f9d-f7be-441a-9fa2-27cd6f6b0c0f,protocol:test_r001,NO,0.000000,3.977531,6.249886,57c2fe10-b3da-4a99-99c1-248079dc78f0,BackwardFill,classical,protocol:test_r001,
fa799f9d-f7be-441a-9fa2-27cd6f6b0c0f,protocol:test_r002,NO,0.000000,3.117851,4.558062,6833af5b-5e56-4ce6-88cf-c29da6434d59,BackwardFill,classical,protocol:test_r002,
fa799f9d-f7be-441a-9fa2-27cd6f6b0c0f,protocol:test_r003,NO,0.000000,2.872840,4.101746,322804c5-bdd9-4937-8408-a6ad0e5e59a8,BackwardFill,classical,protocol:test_r003,
fa799f9d-f7be-441a-9fa2-27cd6f6b0c0f,protocol:test_r004,NO,0.000000,4.130455,6.490043,2fbc0481-d5dc-4708-a33f-d7c96cac5f34,BackwardFill,classical,protocol:test_r004,
b8ad1bf8-4e74-4697-bbc4-76c160831413,protocol:test_r000,NO,0.000000,2.847138,4.034829,b5c610bb-f77d-43ec-8e71-d210cd1647f3,ExponentialSmoothing,classical,protocol:test_r000,
b8ad1bf8-4e74-4697-bbc4-76c160831413,protocol:test_r001,NO,0.000000,4.094548,6.466885,55a7eb77-e085-43ee-9bec-05ea360f8b51,ExponentialSmoothing,classical,protocol:test_r001,
b8ad1bf8-4e74-4697-bbc4-76c160831413,protocol:test_r002,NO,0.000000,3.100561,4.740508,a194c7de-e401-451b-b315-72d67644c1a8,ExponentialSmoothing,classical,protocol:test_r002,
b8ad1bf8-4e74-4697-bbc4-76c160831413,protocol:test_r003,NO,0.000000,2.796179,4.095336,7f8c3957-9799-46e8-bad8-049290e75e43,ExponentialSmoothing,classical,protocol:test_r003,
b8ad1bf8-4e74-4697-bbc4-76c160831413,protocol:test_r004,NO,0.000000,4.246737,6.731171,7393dc34-2e89-4ebe-ba16-aff403058b1d,ExponentialSmoothing,classical,protocol:test_r004,
a3b5081b-0f46-419d-8018-61bd8997fef3,protocol:test_r000,NO,0.000000,17.953777,27.157385,5d046bc6-7c95-45a7-942d-452fef483ad4,GRU-D,dl_temporal,protocol:test_r000,
a3b5081b-0f46-419d-8018-61bd8997fef3,protocol:test_r001,NO,0.000000,18.290276,27.923165,aa4cee28-825f-4e1b-a933-7b9d47d068e9,GRU-D,dl_temporal,protocol:test_r001,
a3b5081b-0f46-419d-8018-61bd8997fef3,protocol:test_r002,NO,0.000000,18.203212,27.621588,5eb77775-3440-495e-b279-80670307e87c,GRU-D,dl_temporal,protocol:test_r002,
a3b5081b-0f46-419d-8018-61bd8997fef3,protocol:test_r003,NO,0.000000,17.816560,27.225047,e1ebfad5-48ee-4a34-b026-9569beb6ed58,GRU-D,dl_temporal,protocol:test_r003,
a3b5081b-0f46-419d-8018-61bd8997fef3,protocol:test_r004,NO,0.000000,18.610498,28.341260,1f39459a-7a38-4c35-af77-61ef86338cc8,GRU-D,dl_temporal,protocol:test_r004,
e3b1da1c-f897-4205-ba18-760988645dc7,protocol:test_r000,NO,0.000000,2.946981,4.142789,f5d12f5b-396c-4167-9194-75b817a7c2a1,LOCF,naive,protocol:test_r000,
e3b1da1c-f897-4205-ba18-760988645dc7,protocol:test_r001,NO,0.000000,4.196560,6.576102,86900202-adca-4563-bc35-7a201f9e3682,LOCF,naive,protocol:test_r001,
e3b1da1c-f897-4205-ba18-760988645dc7,protocol:test_r002,NO,0.000000,3.203147,4.859862,cbe4465d-b499-4ece-8acb-7eb1a8e0ddeb,LOCF,naive,protocol:test_r002,
e3b1da1c-f897-4205-ba18-760988645dc7,protocol:test_r003,NO,0.000000,2.878122,4.170763,2349d26b-576a-4b5e-b28b-9e7a2f69a182,LOCF,naive,protocol:test_r003,
e3b1da1c-f897-4205-ba18-760988645dc7,protocol:test_r004,NO,0.000000,4.355381,6.840145,d63de020-c2e4-44a6-8452-afc646698b4a,LOCF,naive,protocol:test_r004,
8a14caf0-0c41-4987-a269-feef8d60c750,protocol:test_r000,NO,0.000000,2.425981,3.269259,e94801b7-f07a-4f9d-8e3b-4221782076fd,LinearInterpolation,naive,protocol:test_r000,
8a14caf0-0c41-4987-a269-feef8d60c750,protocol:test_r001,NO,0.000000,3.312318,5.329895,665eb43f-1537-47cb-9139-2923c57c675d,LinearInterpolation,naive,protocol:test_r001,
8a14caf0-0c41-4987-a269-feef8d60c750,protocol:test_r002,NO,0.000000,2.515335,3.478955,16352d00-d830-4700-9799-b3d94b00bb43,LinearInterpolation,naive,protocol:test_r002,
8a14caf0-0c41-4987-a269-feef8d60c750,protocol:test_r003,NO,0.000000,2.386305,3.348820,516e04dc-c0ad-4c92-b049-48c23b54dd4a,LinearInterpolation,naive,protocol:test_r003,
8a14caf0-0c41-4987-a269-feef8d60c750,protocol:test_r004,NO,0.000000,3.508059,5.609386,311f36e5-6290-4664-a17e-d4f16d75382c,LinearInterpolation,naive,protocol:test_r004,
78ded0bb-6209-43f4-9498-7c19e0cc382a,protocol:test_r000,NO,0.000000,16.202534,25.975244,c9516122-e4e8-459c-ae8f-e550abfa9387,Mean,naive,protocol:test_r000,
78ded0bb-6209-43f4-9498-7c19e0cc382a,protocol:test_r001,NO,0.000000,17.645173,27.926540,1b26b84a-ea01-4a6b-bde6-1feac8e07dc7,Mean,naive,protocol:test_r001,
78ded0bb-6209-43f4-9498-7c19e0cc382a,protocol:test_r002,NO,0.000000,15.985658,25.560130,707aec4a-6879-45f5-9c6a-5c503c6babf9,Mean,naive,protocol:test_r002,
78ded0bb-6209-43f4-9498-7c19e0cc382a,protocol:test_r003,NO,0.000000,14.668081,24.703676,5530b4e4-209d-4ee4-b66e-749a2476e25f,Mean,naive,protocol:test_r003,
78ded0bb-6209-43f4-9498-7c19e0cc382a,protocol:test_r004,NO,0.000000,17.875358,28.204102,bb4ab87e-f808-42ea-b484-1352d033aaa6,Mean,naive,protocol:test_r004,
9d8705a3-9539-413e-946c-12014a9a5044,protocol:test_r000,NO,0.000000,18.220951,29.428615,aa40ab2e-f789-46da-9e57-2dbf5b9206ef,Median,naive,protocol:test_r000,
9d8705a3-9539-413e-946c-12014a9a5044,protocol:test_r001,NO,0.000000,20.090097,32.251498,7b0a53f6-ada9-4e89-b251-f41a9ba0f23f,Median,naive,protocol:test_r001,
