algorithm_id,masking_rate,mae,rmse,runtime_s,mae_NO,rmse_NO,mae_NO2,rmse_NO2,mae_O3,rmse_O3,mae_SO2,rmse_SO2,test_mae,test_rmse,result_id,algorithm_name,family,masking_id,masking_name,mre,best_checkpoint_path,training_history_path,prediction_artifact_path,checkpoint_source_explanation,mre_NO,mre_NO2,mre_O3,mre_SO2
8a14caf0-0c41-4987-a269-feef8d60c750,0.000000,2.243068,3.330350,0.019597,2.838773,4.228581,2.738632,3.706740,2.105953,2.753414,1.584274,2.423918,,,311f36e5-6290-4664-a17e-d4f16d75382c,LinearInterpolation,naive,protocol:test_r004,protocol:test_r004,,,,,,,,,
f323ea5c-68d0-411f-9155-502a0e350f80,0.000000,2.562709,3.796845,0.069072,3.274648,4.873550,3.180740,4.289692,2.364095,3.111885,1.813967,2.779970,,,69ff32d0-29cf-403c-93e7-973547a1f5b0,NearestInterpolation,classical,protocol:test_r004,protocol:test_r004,,,,,,,,,
b8ad1bf8-4e74-4697-bbc4-76c160831413,0.000000,2.507704,3.857342,0.012582,3.429985,5.240539,3.124202,4.359388,2.078876,2.720804,1.873818,2.946060,,,7393dc34-2e89-4ebe-ba16-aff403058b1d,ExponentialSmoothing,classical,protocol:test_r004,protocol:test_r004,,,,,,,,,
b8a8d3fc-06dc-417d-a4ff-aed7d584dfcc,0.000000,2.591403,3.958957,0.020749,3.405875,5.210673,3.259416,4.516269,2.248172,2.964593,1.878284,2.944321,,,613d5436-3288-4559-b74a-0c37944e1d28,MovingAverage,classical,protocol:test_r004,protocol:test_r004,,,,,,,,,
fa799f9d-f7be-441a-9fa2-27cd6f6b0c0f,0.000000,2.645423,3.959809,0.000872,3.415146,5.116074,3.317695,4.532473,2.355678,3.104439,1.918986,2.971940,,,2fbc0481-d5dc-4708-a33f-d7c96cac5f34,BackwardFill,classical,protocol:test_r004,protocol:test_r004,,,,,,,,,
e3b1da1c-f897-4205-ba18-760988645dc7,0.000000,2.701001,4.094381,0.000938,3.528971,5.344640,3.377627,4.654797,2.386031,3.145119,1.945464,3.041634,,,d63de020-c2e4-44a6-8452-afc646698b4a,LOCF,naive,protocol:test_r004,protocol:test_r004,,,,,,,,,
3fc5eeaf-3963-4779-8adc-6340c61c640f,0.000000,5.651422,10.751428,0.002290,10.315038,18.151748,7.186235,11.657117,2.916188,3.897555,5.237205,9.390352,,,4713f9a4-3bdb-405d-b1c7-d1290fcfdc91,SeasonalNaive,classical,protocol:test_r004,protocol:test_r004,,,,,,,,,
78ded0bb-6209-43f4-9498-7c19e0cc382a,0.000000,9.166890,16.964268,0.000739,16.475361,26.473938,11.821272,19.008943,3.723966,5.039821,9.348149,16.570400,,,bb4ab87e-f808-42ea-b484-1352d033aaa6,Mean,naive,protocol:test_r004,protocol:test_r004,,,,,,,,,
9d8705a3-9539-413e-946c-12014a9a5044,0.000000,9.736639,18.752798,0.000729,18.718034,30.459096,12.582068,20.816236,3.764960,5.140944,9.742847,17.959169,,,e3f2566a-191a-4504-ab7a-9a26ef764856,Median,naive,protocol:test_r004,protocol:test_r004,,,,,,,,,
41a3c283-a634-4e93-b791-b468b3578521,0.000000,22.300256,30.617920,,16.678511,24.783204,26.078315,37.466186,20.286519,23.109334,26.780023,35.231024,22.300256,30.617920,8a5baeaa-ac73-40f4-9a29-9399678f4d93,Simple RNN,dl_temporal,protocol:test_r004,protocol:test_r004,,H:\Documents\Uncompressed\byContext\ResearchCenter\Takoudjou\MasterDegree\inControlScienceEngineering\Experimentations\Interfaces\EviBench\data\artifacts\aaf4c4d9-fad1-4846-99f2-58c5ae15c412\41a3c283-a634-4e93-b791-b468b3578521\checkpoint\checkpoint_best_epoch0200_2026-05-10T085808.pt,,H:\Documents\Uncompressed\byContext\ResearchCenter\Takoudjou\MasterDegree\inControlScienceEngineering\Experimentations\Interfaces\EviBench\data\artifacts\aaf4c4d9-fad1-4846-99f2-58c5ae15c412\41a3c283-a634-4e93-b791-b468b3578521\predictions\predictions_2026-05-10T090725.npz,strict,,,,
