algorithm_id,mask_family,db_masking_id,db_run_count,completed,not_completed,wrong_graph_policy,wrong_epochs,is_complete,blockers,db_run_ids
dcrnn,mar,st:mar:0.3,3,3,0,0,0,True,,b4b969cb-f72a-4c56-8855-83e33454ca3c|d6b91d16-a814-4732-8ce1-9fa89446b467|ed76e506-2dce-424a-bb26-699980f8d0af
dcrnn,mcar,st:mcar:0.3,3,3,0,0,0,True,,2f9573a7-718b-4561-9923-6fbf0e260922|a5cf438f-b5c7-4da1-9646-94d34f506135|e1888e26-9a21-4a8e-94fe-c6265c9cadeb
dcrnn,mnar,st:mnar:0.3,3,3,0,0,0,True,,4f18c204-57d6-4b20-9630-9642c65c9a61|b18396a5-e455-47fb-baa5-744d11244039|d221e0cc-105c-4529-8338-7b8ee73b46ae
dcrnn,node_holdout,st:node_holdout:0.3,3,3,0,0,0,True,,25b4ba6e-749c-46d9-aa07-a0cb2902ac2f|ccaeffff-41be-4795-a47b-43fe5249cfa6|dc05e44b-2c51-4cd2-8993-5801e9f8540d
dcrnn,sensor_dropout,st:sensor_dropout:0.3,3,3,0,0,0,True,,7fedc1a0-45ac-4e11-94c2-3589613e9862|b5d0034d-e130-46c0-8929-5744371c880d|baf96702-cc3f-48a9-9289-68ff1f14dfae
dcrnn,spatial_block,st:spatial_block:0.3,3,3,0,0,0,True,,3f15c43a-acd7-4002-b6c7-266f4cc1454e|5594a44e-d5e2-4408-b026-9949788facde|a9983fe4-9079-4939-9bfd-bfbb7ab9204f
grin,mar,st:mar:0.3,3,3,0,0,0,True,,4cb1a566-1c75-44c4-924d-5ceac4707a55|63909921-cc8d-418e-983d-18b6a51c8ba1|6c33dee9-761f-4ffe-910a-b10c80d156ab
grin,mcar,st:mcar:0.3,3,3,0,0,0,True,,27091999-4fcd-4fc7-b6bc-543280f9a5f7|388d993a-7afe-40df-b86c-b10eccd265b4|f6a43756-f9e2-4cd4-b6cf-d385681aa5c6
grin,mnar,st:mnar:0.3,3,3,0,0,0,True,,751eae6b-3559-4bdb-9978-d2f504fe661e|7c456c3e-0223-4cb5-aaa4-35bc20a821e2|b67af1ce-0b94-4d69-82cc-f8e0020bc53e
grin,node_holdout,st:node_holdout:0.3,3,3,0,0,0,True,,c5580478-bc6f-4964-a9dc-541f0f864afc|e18f9b85-b54a-4c61-bc75-53d6c78328ed|e35c8377-50a4-4af1-8307-21ff0e1260fe
grin,sensor_dropout,st:sensor_dropout:0.3,3,3,0,0,0,True,,139d4f68-bbe7-4aa5-b8cd-afb73da413e6|9534b5f7-e3be-40c3-b7e5-861add1c3aa3|d9342496-37ff-41f3-8db1-d009aa9d9bc3
