component_id,component_type,present,complete,required_for_gate,source_path,blocking_reasons,warnings
readiness_policy,policy,True,True,True,H:\Documents\Uncompressed\byContext\ResearchCenter\Takoudjou\MasterDegree\inControlScienceEngineering\Experimentations\Interfaces\EviBench\plugins,,
claim_policy_table,policy,True,True,True,H:\Documents\Uncompressed\byContext\ResearchCenter\Takoudjou\MasterDegree\inControlScienceEngineering\Experimentations\Interfaces\EviBench\plugins,,
algorithm_cards,documentation,True,True,True,H:\Documents\Uncompressed\byContext\ResearchCenter\Takoudjou\MasterDegree\inControlScienceEngineering\Experimentations\Interfaces\EviBench\docs\exports\thesis\chapter06\06_st_gates\algorithm_card_readiness_report.json,,
reference_alignment,documentation,True,True,False,H:\Documents\Uncompressed\byContext\ResearchCenter\Takoudjou\MasterDegree\inControlScienceEngineering\Experimentations\Interfaces\EviBench\plugins,,
deviation_logs,documentation,True,True,False,H:\Documents\Uncompressed\byContext\ResearchCenter\Takoudjou\MasterDegree\inControlScienceEngineering\Experimentations\Interfaces\EviBench\plugins,,
claim_policies,documentation,True,True,False,H:\Documents\Uncompressed\byContext\ResearchCenter\Takoudjou\MasterDegree\inControlScienceEngineering\Experimentations\Interfaces\EviBench\plugins,,
training_adequacy,training_dynamics,True,True,False,H:\Documents\Uncompressed\byContext\ResearchCenter\Takoudjou\MasterDegree\inControlScienceEngineering\Experimentations\Interfaces\EviBench\docs\exports\thesis\chapter06\06_st_gates\training_adequacy_report.json,,
training_history,training_dynamics,True,True,False,H:\Documents\Uncompressed\byContext\ResearchCenter\Takoudjou\MasterDegree\inControlScienceEngineering\Experimentations\Interfaces\EviBench\docs\exports\thesis\chapter06\03_st_algorithm_lifecycle\scientific_training_summary.json,,
convergence_report,training_dynamics,True,True,True,H:\Documents\Uncompressed\byContext\ResearchCenter\Takoudjou\MasterDegree\inControlScienceEngineering\Experimentations\Interfaces\EviBench\docs\exports\thesis\chapter06\06_st_gates\convergence_report.json,,
train_only_correlation_graph,graph_evidence,True,True,True,H:\Documents\Uncompressed\byContext\ResearchCenter\Takoudjou\MasterDegree\inControlScienceEngineering\Experimentations\Interfaces\EviBench\docs\exports\thesis\chapter06\06_st_gates\train_only_correlation_graph_report.json,,
graph_fingerprint,graph_evidence,True,True,False,H:\Documents\Uncompressed\byContext\ResearchCenter\Takoudjou\MasterDegree\inControlScienceEngineering\Experimentations\Interfaces\EviBench\docs\exports\thesis\chapter06\06_st_gates\train_only_correlation_graph_report.json,,
mask_bank_metadata,mask_evidence,True,True,False,H:\Documents\Uncompressed\byContext\ResearchCenter\Takoudjou\MasterDegree\inControlScienceEngineering\Experimentations\Interfaces\EviBench\data\metadata.db,,
run_metrics,metric_evidence,True,True,True,H:\Documents\Uncompressed\byContext\ResearchCenter\Takoudjou\MasterDegree\inControlScienceEngineering\Experimentations\Interfaces\EviBench\data\metadata.db,,
comparison_summary,comparison_evidence,True,True,False,H:\Documents\Uncompressed\byContext\ResearchCenter\Takoudjou\MasterDegree\inControlScienceEngineering\Experimentations\Interfaces\EviBench\docs\exports\thesis\chapter06\04_st_comparisons,,
artifact_completeness,artifact_evidence,True,True,True,H:\Documents\Uncompressed\byContext\ResearchCenter\Takoudjou\MasterDegree\inControlScienceEngineering\Experimentations\Interfaces\EviBench\docs\exports\thesis\chapter06\06_st_gates\artifact_completeness_report.json,,
runtime_device_metadata,runtime_evidence,True,True,False,H:\Documents\Uncompressed\byContext\ResearchCenter\Takoudjou\MasterDegree\inControlScienceEngineering\Experimentations\Interfaces\EviBench\data\metadata.db,,
