series_index,column_label
0,column_0
1,column_1
2,column_2
3,column_3
4,column_4
5,column_5
6,column_6
7,column_7
8,column_8
9,column_9
10,column_10
11,column_11
12,column_12
13,column_13
14,column_14
15,column_15
16,column_16
17,column_17
18,column_18
19,column_19
20,column_20
21,column_21
22,column_22
23,column_23
24,column_24
25,column_25
26,column_26
27,column_27
28,column_28
29,column_29
30,column_30
31,column_31
32,column_32
33,column_33
34,column_34
35,column_35
36,column_36
37,column_37
38,column_38
39,column_39
40,column_40
41,column_41
42,column_42
43,column_43
44,column_44
45,column_45
46,column_46
47,column_47
48,column_48
49,column_49
