series_index,column_label,n_observed,selected_p,selected_d,selected_q,ic_value,ic_criterion,selection_mode,stationary,converged,fallback_used,fallback_reason,warnings
0,column_0,600,1,1,3,2756.222050325449,bic,ic_search,false,true,false,,
1,column_1,600,0,1,1,2267.272566554568,bic,ic_search,false,true,false,,
2,column_2,600,0,1,4,1981.020875997446,bic,ic_search,false,true,false,,
3,column_3,600,0,1,1,1333.4274779390028,bic,ic_search,false,true,false,,
4,column_4,600,1,1,3,2756.222050325449,bic,ic_search,false,true,false,,
5,column_5,600,1,1,2,3020.090914913698,bic,ic_search,false,true,false,,
6,column_6,600,0,1,1,2452.111997375906,bic,ic_search,false,true,false,,
7,column_7,600,2,1,4,2640.8136626053792,bic,ic_search,false,true,false,,
8,column_8,600,1,1,2,2754.646906002804,bic,ic_search,false,true,false,,
9,column_9,600,0,1,1,3059.805090716812,bic,ic_search,false,true,false,,
10,column_10,600,0,1,2,2505.6052310686377,bic,ic_search,false,true,false,,
11,column_11,600,1,1,2,2943.1296803073064,bic,ic_search,false,true,false,,
12,column_12,600,3,1,4,2771.193366947023,bic,ic_search,false,true,false,,
13,column_13,600,0,1,1,3077.4114670460485,bic,ic_search,false,true,false,,
14,column_14,600,0,1,2,2508.379595595496,bic,ic_search,false,true,false,,
15,column_15,600,2,1,4,2925.3147999360804,bic,ic_search,false,true,false,,
16,column_16,600,1,1,3,2729.953091459381,bic,ic_search,false,true,false,,
17,column_17,600,1,1,3,3047.290203854536,bic,ic_search,false,true,false,,
18,column_18,600,3,1,5,2496.4400327354456,bic,ic_search,false,true,false,,
19,column_19,600,1,1,2,2914.449578352661,bic,ic_search,false,true,false,,
20,column_20,600,1,1,3,2729.953091459381,bic,ic_search,false,true,false,,
21,column_21,600,0,1,1,2269.665089764861,bic,ic_search,false,true,false,,
22,column_22,600,0,1,2,1983.5240959492196,bic,ic_search,false,true,false,,
23,column_23,600,1,1,2,1274.2255226128693,bic,ic_search,false,true,false,,
24,column_24,600,1,1,3,2729.953091459381,bic,ic_search,false,true,false,,
25,column_25,600,1,1,3,3055.463847432251,bic,ic_search,false,true,false,,
26,column_26,600,0,1,2,2467.182983527386,bic,ic_search,false,true,false,,
27,column_27,600,1,1,3,1795.6651043909114,bic,ic_search,false,true,false,,
28,column_28,600,1,1,3,2729.953091459381,bic,ic_search,false,true,false,,
29,column_29,600,0,1,1,2258.6793869241124,bic,ic_search,false,true,false,,
30,column_30,600,0,1,2,1971.5972448768473,bic,ic_search,false,true,false,,
31,column_31,600,1,1,3,2084.471678628102,bic,ic_search,false,true,false,,
32,column_32,600,1,1,3,2729.953091459381,bic,ic_search,false,true,false,,
33,column_33,600,0,1,1,2243.267808361731,bic,ic_search,false,true,false,,
34,column_34,600,0,1,1,1978.884355184321,bic,ic_search,false,true,false,,
35,column_35,600,0,1,1,1713.7288561880948,bic,ic_search,false,true,false,,
36,column_36,600,1,1,3,2729.953091459381,bic,ic_search,false,true,false,,
37,column_37,600,0,1,1,2289.2583561558286,bic,ic_search,false,true,false,,
38,column_38,600,0,1,1,1950.5392828015067,bic,ic_search,false,true,false,,
39,column_39,600,1,1,2,1702.0275184221105,bic,ic_search,false,true,false,,
40,column_40,600,1,1,3,2729.953091459381,bic,ic_search,false,true,false,,
41,column_41,600,0,1,1,2293.3028719678305,bic,ic_search,false,true,false,,
42,column_42,600,0,1,1,2003.3670166285433,bic,ic_search,false,true,false,,
43,column_43,600,1,1,2,1688.3771704366936,bic,ic_search,false,true,false,,
44,column_44,600,1,1,3,2729.953091459381,bic,ic_search,false,true,false,,
45,column_45,600,0,1,1,2247.1221745788694,bic,ic_search,false,true,false,,
46,column_46,600,0,1,2,1956.5401576519732,bic,ic_search,false,true,false,,
47,column_47,600,1,1,2,2300.3683927386273,bic,ic_search,false,true,false,,
48,column_48,600,1,1,3,2729.953091459381,bic,ic_search,false,true,false,,
49,column_49,600,3,1,4,3037.9064212174176,bic,ic_search,false,true,false,,
50,column_50,600,0,1,1,2443.288524342595,bic,ic_search,false,true,false,,
51,column_51,600,3,1,4,2289.656038871439,bic,ic_search,false,true,false,,
52,column_52,600,1,1,3,2729.953091459381,bic,ic_search,false,true,false,,
53,column_53,600,0,1,1,2264.4830230811453,bic,ic_search,false,true,false,,
54,column_54,600,0,1,1,1937.2916364120554,bic,ic_search,false,true,false,,
55,column_55,600,1,1,4,1712.214838466653,bic,ic_search,false,true,false,,
56,column_56,600,0,1,1,1964.4111080812459,bic,ic_search,false,true,false,,
57,column_57,600,0,1,1,2247.21562572809,bic,ic_search,false,true,false,,
58,column_58,600,0,1,1,1968.6666476660355,bic,ic_search,false,true,false,,
59,column_59,600,2,1,3,1306.339757090914,bic,ic_search,false,true,false,,
60,column_60,600,0,1,1,1964.4111080812459,bic,ic_search,false,true,false,,
61,column_61,600,0,1,1,2244.266849227291,bic,ic_search,false,true,false,,
62,column_62,600,0,1,1,1967.5039743564585,bic,ic_search,false,true,false,,
63,column_63,600,2,1,3,2633.2907324181274,bic,ic_search,false,true,false,,
64,column_64,600,2,1,5,2748.9075321591768,bic,ic_search,false,true,false,,
65,column_65,600,1,1,3,3065.208570507668,bic,ic_search,false,true,false,,
66,column_66,600,0,1,3,2402.8164582906547,bic,ic_search,false,true,false,,
67,column_67,600,1,1,2,2941.926312530932,bic,ic_search,false,true,false,,
68,column_68,600,1,1,4,2743.634240270416,bic,ic_search,false,true,false,,
69,column_69,600,2,1,4,3037.1750269497493,bic,ic_search,false,true,false,,
70,column_70,600,0,1,3,2450.944601175432,bic,ic_search,false,true,false,,
71,column_71,600,1,1,2,2922.2193895022356,bic,ic_search,false,true,false,,
72,column_72,600,1,1,2,2723.5772145442475,bic,ic_search,false,true,false,,
73,column_73,600,0,1,5,3058.5620564018127,bic,ic_search,false,true,false,,
74,column_74,600,0,1,2,2446.364302655393,bic,ic_search,false,true,false,,
75,column_75,600,3,1,4,2656.714668502094,bic,ic_search,false,true,false,,
76,column_76,600,1,1,2,2723.5772145442475,bic,ic_search,false,true,false,,
77,column_77,600,3,0,5,3222.6296839547394,bic,ic_search,true,true,false,,
