series_index,column_label,n_observed,adf_statistic,adf_pvalue,adf_used_lag,kpss_statistic,kpss_pvalue,kpss_used_lag,stationarity_verdict,recommended_d,constant_series,too_short,all_missing,warnings
0,column_0,600,0.6658459437637825,0.9891310308316394,7,3.2061698651664816,0.01,16,non_stationary,1,false,false,false,non-stationary at d=0; stationary after differencing
1,column_1,600,0.27633245043516785,0.9762321929000572,16,1.852408229533032,0.01,15,non_stationary,1,false,false,false,non-stationary at d=0; stationary after differencing
2,column_2,600,-1.9022377105129067,0.33100915444039314,19,3.625524923408569,0.01,16,non_stationary,1,false,false,false,non-stationary at d=0; stationary after differencing
3,column_3,600,-1.2671685818315677,0.6440557301675697,19,1.8377169594101777,0.01,16,non_stationary,1,false,false,false,non-stationary at d=0; stationary after differencing
4,column_4,600,0.6658459437637825,0.9891310308316394,7,3.2061698651664816,0.01,16,non_stationary,1,false,false,false,non-stationary at d=0; stationary after differencing
5,column_5,600,-0.5531015700322605,0.8812309962819056,6,1.5540158046172639,0.01,16,non_stationary,1,false,false,false,non-stationary at d=0; stationary after differencing
6,column_6,600,6.093086441153568,1.0,18,2.9193564152710056,0.01,16,non_stationary,1,false,false,false,non-stationary at d=0; max differencing reached
7,column_7,600,-0.5590574418288962,0.8799676324808444,18,3.3039148038924244,0.01,16,non_stationary,1,false,false,false,non-stationary at d=0; stationary after differencing
8,column_8,600,0.9444734191032474,0.9936441164425547,9,3.1551389811389785,0.01,16,non_stationary,1,false,false,false,non-stationary at d=0; stationary after differencing
9,column_9,600,-0.4444602914294143,0.9024066775460524,8,1.5976756916342556,0.01,16,non_stationary,1,false,false,false,non-stationary at d=0; stationary after differencing
10,column_10,600,5.533655658151667,1.0,16,2.9312959909229765,0.01,16,non_stationary,1,false,false,false,non-stationary at d=0; stationary after differencing
11,column_11,600,-1.0088156194591633,0.7500354419857365,19,3.4214349629587066,0.01,16,non_stationary,1,false,false,false,non-stationary at d=0; max differencing reached
12,column_12,600,0.9639916220854792,0.9938711076787378,10,3.168134968870918,0.01,16,non_stationary,1,false,false,false,non-stationary at d=0; stationary after differencing
13,column_13,600,-0.6362219494946032,0.8625855317180553,6,1.5764143930874477,0.01,16,non_stationary,1,false,false,false,non-stationary at d=0; stationary after differencing
14,column_14,600,6.078031550780646,1.0,19,2.9512088575601725,0.01,16,non_stationary,1,false,false,false,non-stationary at d=0; max differencing reached
15,column_15,600,-0.7988888405015794,0.8194482444445349,12,3.413110862756181,0.01,16,non_stationary,1,false,false,false,non-stationary at d=0; stationary after differencing
16,column_16,600,0.8513315896536835,0.9924211580511194,7,3.1861692846389738,0.01,16,non_stationary,1,false,false,false,non-stationary at d=0; stationary after differencing
17,column_17,600,-0.6143611043911631,0.8677038747790365,6,1.6055974976140794,0.01,16,non_stationary,1,false,false,false,non-stationary at d=0; stationary after differencing
18,column_18,600,5.67379948987703,1.0,17,2.934770670576849,0.01,16,non_stationary,1,false,false,false,non-stationary at d=0; max differencing reached
19,column_19,600,-0.9688641120501387,0.7644503722146943,19,3.4199856213151647,0.01,16,non_stationary,1,false,false,false,non-stationary at d=0; stationary after differencing
20,column_20,600,0.8513315896536835,0.9924211580511194,7,3.1861692846389738,0.01,16,non_stationary,1,false,false,false,non-stationary at d=0; stationary after differencing
21,column_21,600,0.6148471211302469,0.9879759250168887,15,1.9274900541909334,0.01,15,non_stationary,1,false,false,false,non-stationary at d=0; max differencing reached
22,column_22,600,-1.603183355382362,0.4819941804443866,13,3.6279252638098263,0.01,16,non_stationary,1,false,false,false,non-stationary at d=0; stationary after differencing
23,column_23,600,-2.187525014984207,0.2108042717794903,17,0.465379788109611,0.04946401168702456,16,non_stationary,1,false,false,false,non-stationary at d=0; stationary after differencing
